COUNTRY_REGION;NAME_COUNTRY;YEAR;VALUE
AND;Andorra;1996;9.77
AND;Andorra;1998;8.5
AND;Andorra;1999;8.9
ARM;Armenia;1980;6.73
ARM;Armenia;1987;6.57
ARM;Armenia;1988;6.93
ARM;Armenia;1989;7.02
ARM;Armenia;1990;7.06
ARM;Armenia;1991;4.89
ARM;Armenia;1992;3.25
ARM;Armenia;1993;2.61
ARM;Armenia;1994;2.33
ARM;Armenia;1995;2
ARM;Armenia;1996;1.82
ARM;Armenia;1997;1.51
AUT;Austria;1970;15.2
AUT;Austria;1971;15
AUT;Austria;1972;14.7
AUT;Austria;1973;14.6
AUT;Austria;1974;14.5
AUT;Austria;1975;14.8
AUT;Austria;1976;15.8
AUT;Austria;1977;15.6
AUT;Austria;1978;16.7
AUT;Austria;1979;16.9
AUT;Austria;1980;17.4
AUT;Austria;1981;16.9
AUT;Austria;1982;15.7
AUT;Austria;1983;15.1
AUT;Austria;1984;14.6
AUT;Austria;1985;15.4
AUT;Austria;1986;15.4
AUT;Austria;1987;14.6
AUT;Austria;1988;14.8
AUT;Austria;1989;15.3
AUT;Austria;1990;15.2
AUT;Austria;1991;15.3
AUT;Austria;1992;15.2
AUT;Austria;1993;15.1
AUT;Austria;1994;14.9
AUT;Austria;1995;14.9
AUT;Austria;1996;14
AUT;Austria;1997;13.2
AUT;Austria;1998;13.2
AUT;Austria;1999;14.4
AUT;Austria;2000;14.4
AUT;Austria;2001;13.8
AUT;Austria;2002;13.3
AUT;Austria;2003;13.2
AUT;Austria;2004;12.7
AUT;Austria;2005;12.6
AUT;Austria;2006;12
AUT;Austria;2007;12.5
AUT;Austria;2008;13
AUT;Austria;2009;13.2
AUT;Austria;2010;12.9
AUT;Austria;2011;13.2
AUT;Austria;2012;12.8
AUT;Austria;2013;13
AUT;Austria;2014;12.3
AUT;Austria;2015;12.7
AUT;Austria;2016;12.5
AUT;Austria;2017;12.5
AUT;Austria;2018;13.1
AUT;Austria;2019;13.3
AUT;Austria;2020;12.7
AUT;Austria;2021;12.3
AZE;Azerbaijan;1997;3.17
AZE;Azerbaijan;1999;1.4
BEL;Azerbaijan;1970;5.4
BEL;Azerbaijan;1971;5.6
BEL;Azerbaijan;1972;5.8
BEL;Azerbaijan;1973;6.2
BEL;Azerbaijan;1974;6.4
BEL;Azerbaijan;1975;6.5
BEL;Azerbaijan;1976;6.8
BEL;Azerbaijan;1977;6.8
BEL;Azerbaijan;1978;7.1
BEL;Azerbaijan;1979;7.3
BEL;Azerbaijan;1980;7.3
BEL;Azerbaijan;1981;7.3
BEL;Azerbaijan;1982;7.5
BEL;Azerbaijan;1983;7.5
BEL;Azerbaijan;1984;7.7
BEL;Azerbaijan;1985;7.8
BEL;Azerbaijan;1986;7.7
BEL;Azerbaijan;1987;7.5
BEL;Azerbaijan;1988;7.6
BEL;Azerbaijan;1989;7.6
BEL;Azerbaijan;1990;7.2
BEL;Azerbaijan;1991;7.2
BEL;Azerbaijan;1992;7.2
BEL;Azerbaijan;1993;7
BEL;Azerbaijan;1994;7
BEL;Azerbaijan;1995;7.1
BEL;Azerbaijan;2013;11.1
BEL;Azerbaijan;2018;12.3
BLR;Belarus;1993;6.5
BLR;Belarus;1994;6.6
BLR;Belarus;1995;6.8
BLR;Belarus;1996;6.7
BLR;Belarus;1997;7.8
BLR;Belarus;1998;8
BLR;Belarus;1999;8.3
BLR;Belarus;2000;7.8
BLR;Belarus;2001;7.6
BLR;Belarus;2002;9.9
BLR;Belarus;2003;9.8
BLR;Belarus;2004;9.7
BLR;Belarus;2005;9.3
BLR;Belarus;2006;9.3
BLR;Belarus;2007;9.3
BLR;Belarus;2008;9.3
BLR;Belarus;2009;9.2
BLR;Belarus;2010;9.4
BLR;Belarus;2011;10.05
BLR;Belarus;2012;10.53
BLR;Belarus;2013;10.75
BLR;Belarus;2014;11.62
BLR;Belarus;2015;11.42
BLR;Belarus;2016;11.19
BLR;Belarus;2017;11.17
BLR;Belarus;2018;10.23
BLR;Belarus;2019;10.42
BLR;Belarus;2020;12.83
CIS;Bulgaria;1995;9.28
CIS;Bulgaria;1996;9.29
CIS;Bulgaria;1997;8.87
CZE;Czechia;1970;18.5
CZE;Czechia;1971;16.1
CZE;Czechia;1972;14.5
CZE;Czechia;1973;15.1
CZE;Czechia;1974;15.1
CZE;Czechia;1975;14.8
CZE;Czechia;1976;15.1
CZE;Czechia;1977;15.5
CZE;Czechia;1978;15.2
CZE;Czechia;1979;15.5
CZE;Czechia;1980;16.5
CZE;Czechia;1981;15.7
CZE;Czechia;1982;15.8
CZE;Czechia;1983;16.2
CZE;Czechia;1984;16.1
CZE;Czechia;1985;16.3
CZE;Czechia;1986;17.3
CZE;Czechia;1987;16.2
CZE;Czechia;1988;16.3
CZE;Czechia;1989;17.4
CZE;Czechia;1990;17.5
CZE;Czechia;1991;18.4
CZE;Czechia;1992;18.8
CZE;Czechia;1993;19.4
CZE;Czechia;1994;21.1
CZE;Czechia;1995;22.5
CZE;Czechia;1996;22.1
CZE;Czechia;1997;22.8
CZE;Czechia;1998;21.2
CZE;Czechia;1999;21.7
CZE;Czechia;2000;23.6
CZE;Czechia;2001;24.6
CZE;Czechia;2002;24.7
CZE;Czechia;2003;24.9
CZE;Czechia;2004;21.4
CZE;Czechia;2005;22.4
CZE;Czechia;2006;21.2
CZE;Czechia;2007;20.5
CZE;Czechia;2008;19
CZE;Czechia;2009;15.3
CZE;Czechia;2010;13.7
CZE;Czechia;2011;13.3
CZE;Czechia;2012;12.6
CZE;Czechia;2013;13.2
CZE;Czechia;2014;13.5
CZE;Czechia;2015;14.8
CZE;Czechia;2016;15.4
CZE;Czechia;2017;15.6
CZE;Czechia;2018;16.3
CZE;Czechia;2019;17.2
CZE;Czechia;2020;20.1
CZE;Czechia;2021;20.2
DEU;Czechia;1970;12.8
DEU;Czechia;1971;14.1
DEU;Czechia;1972;13.6
DEU;Czechia;1973;13.7
DEU;Czechia;1974;14.7
DEU;Czechia;1975;14
DEU;Czechia;1976;13.5
DEU;Czechia;1977;13.5
DEU;Czechia;1978;13.4
DEU;Czechia;1979;13.8
DEU;Czechia;1980;14.2
DEU;Czechia;1981;14.2
DEU;Czechia;1982;13.3
DEU;Czechia;1983;11.7
DEU;Czechia;1984;11.2
DEU;Czechia;1985;11.3
DEU;Czechia;1986;11.6
DEU;Czechia;1987;12
DEU;Czechia;1988;12.2
DEU;Czechia;1989;12.4
DEU;Czechia;1993;18.2
DEU;Czechia;1994;18
DEU;Czechia;1995;19.2
DEU;Czechia;1996;18.7
DEU;Czechia;1997;16.9
DEU;Czechia;1998;16.2
DEU;Czechia;1999;17.1
DEU;Czechia;2000;16.5
DEU;Czechia;2001;16.4
DEU;Czechia;2002;16.3
DEU;Czechia;2003;15.6
DEU;Czechia;2004;14.2
DEU;Czechia;2005;13.8
DEU;Czechia;2006;13.3
DEU;Czechia;2007;13.9
DEU;Czechia;2008;14.6
DEU;Czechia;2009;15.4
DEU;Czechia;2010;15.9
DEU;Czechia;2011;16.5
DEU;Czechia;2012;17.6
DEU;Czechia;2013;18.3
DEU;Czechia;2014;18.1
DEU;Czechia;2015;18.3
DEU;Czechia;2016;18.6
DEU;Czechia;2017;18.3
DEU;Czechia;2018;20
DEU;Czechia;2019;19.9
DEU;Czechia;2020;20.2
DEU;Czechia;2021;20
DNK;Denmark;1995;7
DNK;Denmark;1997;8.9
DNK;Denmark;1998;8.2
DNK;Denmark;1999;8.2
DNK;Denmark;2000;8.3
DNK;Denmark;2001;8.7
DNK;Denmark;2002;8.5
DNK;Denmark;2003;8.2
DNK;Denmark;2004;8
DNK;Denmark;2007;9.2
DNK;Denmark;2008;8.7
DNK;Denmark;2009;8.8
DNK;Denmark;2010;8.3
DNK;Denmark;2011;8.1
DNK;Denmark;2012;8
DNK;Denmark;2013;8.22
DNK;Denmark;2014;8.42
DNK;Denmark;2015;8.67
DNK;Denmark;2016;8.51
DNK;Denmark;2017;8.42
DNK;Denmark;2018;8.66
DNK;Denmark;2019;8.66
