year,month,day,date,fruits_veggies,daily_stress,places_visited,core_circle,supporting_others,social_network,achievement,donation,bmi_range,todo_completed,flow,daily_steps,live_vision,sleep_hours,lost_vacation,daily_shouting,sufficient_income,personal_awards,time_for_passion,weekly_meditation,age,gender,work_life_balance_score,Positive Experience Index,Negative Experience Index,median
2016,1,1,2016-01-01,5,4,10,3,2,2,1,3,1,3,1,3,1,9,0,7,2,4,5,1,21 to 35,Female,641.8,70,28,11.8
2016,1,1,2016-01-01,3,3,1,10,0,4,4,1,2,3,2,10,1,10,1,5,1,5,1,10,Less than 20,Female,628.1,70,28,11.8
2016,1,1,2016-01-01,2,4,5,10,10,10,2,1,2,7,1,3,0,6,0,4,1,10,6,7,36 to 50,Female,649.7,70,28,11.8
2016,1,1,2016-01-01,3,4,10,7,2,10,1,3,2,2,3,6,2,8,10,3,2,3,1,7,21 to 35,Male,637.1,70,28,11.8
2016,1,1,2016-01-01,0,4,5,3,0,4,3,0,2,0,2,2,0,8,10,9,1,6,1,3,21 to 35,Male,546.2,70,28,11.8
2016,1,1,2016-01-01,5,1,6,5,3,4,1,5,2,7,3,5,0,8,0,2,2,4,1,6,36 to 50,Male,664.1,70,28,11.8
2016,1,2,2016-01-02,3,3,6,7,6,6,2,5,1,8,3,5,5,8,7,6,2,4,2,6,Less than 20,Female,674.3,70,28,11.8
2016,1,2,2016-01-02,2,4,5,5,3,4,1,4,1,10,10,10,0,6,10,1,1,3,2,4,36 to 50,Female,642.6,70,28,11.8
2016,1,2,2016-01-02,2,2,10,10,10,10,3,5,1,6,1,5,1,8,2,0,2,10,2,7,21 to 35,Male,718.5,70,28,11.8
2016,1,2,2016-01-02,3,4,10,7,2,10,1,3,2,2,3,6,2,8,10,3,2,3,1,7,21 to 35,Male,637.1,70,28,11.8
2016,1,2,2016-01-02,2,3,10,9,10,10,8,5,1,8,4,10,10,6,1,2,2,9,9,7,51 or more,Male,759.9,70,28,11.8
2016,1,2,2016-01-02,2,1,10,7,10,4,6,1,1,8,2,5,2,7,0,1,2,10,1,7,51 or more,Female,703.0,70,28,11.8
2016,1,2,2016-01-02,1,1,7,10,10,5,2,2,1,9,1,2,2,6,10,2,2,1,1,10,36 to 50,Female,661.4,70,28,11.8
2016,1,3,2016-01-03,4,4,4,8,10,10,7,5,2,5,2,6,5,6,6,0,2,10,8,5,51 or more,Female,699.6,70,28,11.8
2016,1,3,2016-01-03,4,4,10,5,3,6,4,1,1,9,1,10,2,9,0,1,1,10,5,7,51 or more,Female,687.4,70,28,11.8
2016,1,3,2016-01-03,0,5,2,2,0,1,0,0,1,1,1,1,0,9,0,8,1,1,0,10,21 to 35,Female,563.2,70,28,11.8
2016,1,3,2016-01-03,5,4,1,3,2,1,1,2,1,7,1,10,0,8,10,0,2,5,2,10,51 or more,Female,644.7,70,28,11.8
2016,1,3,2016-01-03,5,0,10,4,6,5,6,5,2,8,2,10,0,6,0,2,1,8,2,10,51 or more,Female,691.9,70,28,11.8
2016,1,3,2016-01-03,5,0,10,4,6,5,6,5,2,8,2,10,0,6,0,2,1,8,2,10,51 or more,Female,691.9,70,28,11.8
2016,1,3,2016-01-03,5,4,6,10,10,10,4,5,2,5,6,4,10,6,0,1,2,6,8,4,51 or more,Female,716.2,70,28,11.8
